Date,Code,Name,Cell,Base_Price,1D_Return,3D_Return,5D_Return,Settled_Count,Type1,Type2,Type3,Break_MA5,Break_MA20,Break_MA60
2026-05-29,003550,LG,R4C4,146600.0,0.0,0.0,13.1,3,,,,,,
2026-05-29,035720,카카오,R2C3,41950.0,0.0,0.0,1.79,3,,,,,,
2026-05-29,064400,LG씨엔에스,R4C3,113800.0,0.0,0.0,26.27,3,,,,,,
2026-05-29,034220,LG디스플레이,R3C3,16090.0,0.0,0.0,-1.8,3,,,,,,
2026-05-29,005380,현대차,R3C2,723000.0,0.0,0.0,3.73,3,,,,,,
2026-05-29,009150,삼성전기,R4C3,2127000.0,0.0,0.0,-5.74,3,,,,,,
2026-05-29,018260,삼성에스디에스,R4C4,299000.0,0.0,0.0,21.07,3,,,,,,
2026-05-29,018880,한온시스템,R3C2,5630.0,0.0,0.0,-7.28,3,,,,,,
2026-05-29,000270,기아,R1C2,169200.0,0.0,0.0,0.41,3,,,,,,
2026-05-29,323410,카카오뱅크,R2C3,22400.0,0.0,0.0,-1.12,3,,,,,,
2026-05-29,006400,삼성SDI,R1C3,688000.0,0.0,0.0,-5.23,3,,,,,,
2026-05-29,105560,KB금융,R1C2,150600.0,0.0,0.0,1.0,3,,,,,,
2026-05-29,012330,현대모비스,R3C2,768000.0,0.0,0.0,-0.91,3,,,,,,
2026-05-29,032640,LG유플러스,R3C3,16130.0,0.0,0.0,1.8,3,,,,,,
2026-05-29,017670,SK텔레콤,R2C2,100600.0,0.0,0.0,11.53,3,,,,,,
2026-05-29,353200,대덕전자,R4C3,190900.0,0.0,0.0,-6.86,3,,,,,,
2026-05-29,319400,현대무벡스,R3C1,39750.0,0.0,0.0,0.63,3,,,,,,
2026-05-29,011070,LG이노텍,R4C3,1458000.0,0.0,0.0,4.94,3,,,,,,
2026-05-29,373220,LG에너지솔루션,R2C3,458000.0,0.0,0.0,-0.66,3,,,,,,
2026-05-29,009830,한화솔루션,R1C1,41850.0,0.0,0.0,-2.99,3,,,,,,
2026-05-29,000720,현대건설,R2C2,147000.0,0.0,0.0,-5.51,3,,,,,,
2026-05-29,068270,셀트리온,R1C2,192900.0,0.0,0.0,-0.62,3,,,,,,
2026-05-29,028260,삼성물산,R3C2,432500.0,0.0,0.0,5.2,3,,,,,,
2026-05-29,161390,한국타이어앤테크놀로지,R3C3,66800.0,0.0,0.0,2.84,3,,,,,,
2026-05-29,028300,HLB,R1C3,50800.0,0.0,0.0,9.25,3,,,,,,
2026-05-29,307950,현대오토에버,R4C3,931000.0,0.0,0.0,0.75,3,,,,,,
2026-05-29,454910,두산로보틱스,R3C1,106500.0,0.0,0.0,29.95,3,,,,,,
2026-05-29,051910,LG화학,R3C3,367000.0,0.0,0.0,-0.95,3,,,,,,
2026-05-29,096770,SK이노베이션,R1C2,119200.0,0.0,0.0,-2.52,3,,,,,,
2026-05-29,006360,GS건설,R2C2,30500.0,0.0,0.0,-5.41,3,,,,,,
2026-05-29,032830,삼성생명,R3C2,388500.0,0.0,0.0,5.53,3,,,,,,
2026-05-29,086280,현대글로비스,R2C2,242500.0,0.0,0.0,-4.12,3,,,,,,
2026-05-29,010950,S-Oil,R1C2,107400.0,0.0,0.0,-2.51,3,,,,,,
2026-05-29,022100,포스코DX,R2C2,32450.0,0.0,0.0,19.26,3,,,,,,
2026-05-29,005830,DB손해보험,R1C3,143100.0,0.0,0.0,-1.47,3,,,,,,
